TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41047002303,Oregon,Marion County,7449,3422,4027,7.8,85.9,0.0,0.3,1.6,0.3,5437,59089.0,8731.0,28817.0,3071.0,13.6,19.5,40.8,19.9,23.0,8.5,7.8,77.4,10.9,2.9,2.7,2.7,3.4,21.8,3541,64.3,28.5,7.2,0.0,2.9
41047002304,Oregon,Marion County,5911,2739,3172,4.7,89.2,0.2,0.0,3.7,0.0,4452,68468.0,7790.0,41089.0,8252.0,3.9,0.0,48.1,14.0,22.7,6.5,8.7,83.5,10.7,2.2,0.0,0.6,2.9,24.9,2745,68.2,23.4,7.6,0.8,4.0
41047002400,Oregon,Marion County,3561,1675,1886,3.1,92.7,0.0,0.8,1.6,0.0,2721,97379.0,12060.0,51068.0,6184.0,2.2,0.0,65.5,8.9,16.4,5.3,3.9,85.1,8.1,0.0,1.9,1.4,3.5,23.7,1700,62.4,27.8,9.9,0.0,2.1
41047002501,Oregon,Marion County,9459,4810,4649,10.2,83.7,0.2,0.1,1.5,0.2,6444,73533.0,10105.0,31842.0,3279.0,6.9,10.2,41.9,16.4,27.7,7.2,6.8,83.5,6.2,1.4,1.5,1.2,6.2,24.3,4360,72.2,22.4,4.7,0.7,5.0
41047002502,Oregon,Marion County,5543,2939,2604,32.3,66.1,0.7,0.6,0.0,0.0,3604,50938.0,2607.0,25201.0,3415.0,13.1,17.8,25.2,18.7,17.7,23.6,14.8,72.9,13.4,0.0,7.3,2.5,3.9,22.6,2322,76.8,16.5,6.7,0.0,3.8
41047002600,Oregon,Marion County,1996,980,1016,9.8,88.9,0.0,0.0,0.5,0.1,1434,87928.0,8549.0,35484.0,6695.0,9.1,9.1,46.3,12.8,18.8,14.7,7.3,75.4,15.2,0.9,3.7,0.8,3.9,22.3,958,70.5,23.4,6.2,0.0,2.7
41047002700,Oregon,Marion County,8585,4302,4283,4.8,91.0,0.0,0.6,1.7,0.0,7050,80256.0,3518.0,37467.0,4028.0,7.2,8.2,38.9,14.3,27.9,9.1,9.8,87.5,6.2,0.0,2.3,1.1,2.9,24.1,4002,75.1,17.2,7.4,0.3,6.8
41047002800,Oregon,Marion County,3940,2007,1933,10.0,81.5,0.2,0.6,1.6,0.0,2847,70360.0,7384.0,36638.0,4733.0,12.8,19.4,44.3,14.2,18.3,14.8,8.5,79.7,6.0,1.2,4.3,0.0,8.8,21.9,1870,73.5,16.1,9.8,0.6,3.4
41047010100,Oregon,Marion County,1423,741,682,13.2,81.7,0.0,0.0,1.7,0.0,1033,78750.0,12251.0,30742.0,3181.0,10.5,13.9,34.3,6.3,21.2,25.5,12.7,73.2,2.6,3.6,5.0,0.4,15.2,21.3,694,78.8,5.9,15.3,0.0,4.7
41047010201,Oregon,Marion County,2689,1380,1309,18.2,74.4,4.3,0.8,1.1,0.1,2044,73508.0,9760.0,34119.0,4534.0,7.8,8.5,29.1,19.4,19.2,13.9,18.4,80.3,13.6,0.2,0.0,0.0,5.8,29.0,1312,78.9,13.0,8.1,0.0,7.5
